Invoice ID,Branch,City,Customer Type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Dates,Time,Payment,cogs,gross margin percentage,gross income,Rating
569dac1b,C,Naypyitaw,Normal,Male,Electronic accessories,55.1,1,2.7550000000000003,57.855000000000004,2024-01-25,23:31:33,Cash,55.1,4.761905,2.7550000000000003,4.8
8822a33d,A,Naypyitaw,Normal,Female,Sports and travel,73.56,8,29.424000000000003,617.904,2024-07-09,11:10:17,Credit card,588.48,4.761905,29.424000000000003,8.5
b623fb46,C,Naypyitaw,Member,Male,Electronic accessories,58.09,4,11.618000000000002,243.97800000000004,2024-05-05,01:25:30,Cash,232.36,4.761905,11.618000000000002,7.9
5c7b5576,C,Naypyitaw,Normal,Female,Food and beverages,58.67,5,14.667500000000002,308.01750000000004,2024-08-21,09:36:15,Cash,293.35,4.761905,14.667500000000002,5.9
d1241256,A,Yangon,Member,Male,Health and beauty,48.66,8,19.464,408.74399999999997,2024-04-20,02:22:53,Credit card,389.28,4.761905,19.464,7.7
18f9413b,A,Naypyitaw,Member,Female,Home and lifestyle,37.8,5,9.450000000000001,198.45000000000002,2024-03-09,22:12:39,Ewallet,189.0,4.761905,9.450000000000001,5.3
52802877,C,Mandalay,Member,Female,Fashion accessories,53.4,4,10.68,224.28,2024-04-01,07:51:18,Ewallet,213.6,4.761905,10.68,6.7
382069e0,B,Mandalay,Member,Male,Fashion accessories,20.66,6,6.198,130.15800000000002,2024-08-11,07:11:41,Ewallet,123.96000000000001,4.761905,6.198,9.4
f5acdd3e,C,Naypyitaw,Normal,Female,Food and beverages,96.54,5,24.135000000000005,506.8350000000001,2024-07-06,11:01:09,Credit card,482.70000000000005,4.761905,24.135000000000005,4.8
26c1901f,C,Naypyitaw,Member,Female,Health and beauty,74.3,7,26.005000000000003,546.105,2024-04-24,08:05:37,Ewallet,520.1,4.761905,26.005000000000003,6.3
7ce0d506,C,Mandalay,Normal,Male,Sports and travel,95.72,7,33.502,703.542,2024-07-25,08:32:49,Cash,670.04,4.761905,33.502,8.9
c4ea9009,C,Mandalay,Normal,Female,Electronic accessories,30.41,4,6.082000000000001,127.72200000000001,2024-03-22,22:56:10,Ewallet,121.64,4.761905,6.082000000000001,9.8
c072cbb6,A,Yangon,Normal,Female,Electronic accessories,89.14,5,22.285,467.985,2024-04-04,19:27:13,Credit card,445.7,4.761905,22.285,6.7
173541d7,C,Mandalay,Normal,Female,Electronic accessories,82.79,3,12.418500000000002,260.7885,2024-02-03,15:37:25,Ewallet,248.37,4.761905,12.418500000000002,7.0
8745338a,B,Mandalay,Member,Male,Sports and travel,70.94,4,14.188,297.948,2024-03-24,06:29:28,Cash,283.76,4.761905,14.188,7.4
47730a5a,A,Naypyitaw,Normal,Male,Fashion accessories,66.25,4,13.25,278.25,2024-05-23,05:47:45,Credit card,265.0,4.761905,13.25,9.6
